OptionRef,Task ID,Task Title,Task Description,Complexity,Primary Role,Notes,Predecessors,Client Dependencies,Deliverables,Acceptance Criteria
F.01.1.A,F01.1.A.T01,Define vendor evaluation criteria,"Create a scored matrix covering coverage, CDC method, schema drift, private networking, SLAs, pricing, API/DAG integrations.",M,SDA,,,Source system list; security & procurement constraints,Evaluation matrix; recommendation brief,Matrix approved by PDA and Security
F.01.1.A,F01.1.A.T02,Spin up PoC via Snowflake Partner Connect,Use Partner Connect to create a trial vendor account and auto‑provision Snowflake objects; validate end‑to‑end load.,L,DE,,F01.1.A.T01,ACCOUNTADMIN; Partner Connect access,Working PoC and first sync,Initial tables replicated; secrets stored
F.01.1.A,F01.1.A.T03,Private networking design (PrivateLink/Private Link/PSC),Design and validate private networking with the vendor; produce enablement steps and validation checks.,H,SDA,,F01.1.A.T02,Cloud & region; Snowflake edition; vendor endpoints,Network design + allowlists; validation report,Connectivity validated without public egress
F.01.1.A,F01.1.A.T04,RBAC & least‑privilege design for destination,Define destination DB/Schema/Warehouse; create service roles/grants with least‑privilege; separate load vs read roles.,M,SDA,,F01.1.A.T02,Security policies; target DB/Schema list,DDL scripts; runbook,Least‑privilege review passed
F.01.1.A,F01.1.A.T05,Cost & capacity planning,Estimate vendor and Snowflake costs; size warehouses for initial and steady‑state CDC; define usage/resource monitors.,M,SDA,,F01.1.A.T02,"Volumes, change rates, pricing tier, SLAs",Cost model; sizing; monitors,Stakeholder sign‑off on forecast
F.01.1.A,F01.1.A.T06,Inventory & prioritize source tables,"Compile table list, confirm PKs and update timestamps; classify by change rate and criticality.",M,DE,,F01.1.A.T01,Source data dictionary; SME time,Inventory with priority tags,Top‑priority tables agreed
F.01.1.A,F01.1.A.T07,Identify RI & dependency groups (from SOURCE catalogs),Extract FK relationships from SOURCE catalogs; build dependency groups to enforce parent‑first orchestration.,M,SDE,Do NOT rely on Snowflake constraints; replicated targets may not enforce FKs.,F01.1.A.T06,Read access to SOURCE catalogs; service account,Dependency graph; group assignments,Graph reviewed; grouping rules captured
F.01.1.A,F01.1.A.T07a,Automate FK export per source,Schedule extraction of FK metadata from SOURCE systems; persist to reference tables for reproducible builds.,M,SDE,Version outputs for auditability,F01.1.A.T07,,Scheduled FK export; REF_DEPENDENCY_* populated,Nightly export refreshes without errors
F.01.1.A,F01.1.A.T07b,Construct dependency graph from FK rows,Transform FK rows into a directed graph; detect cycles/missing PKs; compute topological layers for load ordering.,M,SDE,,F01.1.A.T07a,,Graph + layer assignments,Graph validates with no unresolved nodes
F.01.1.A,F01.1.A.T07c,Handle sources without declared FKs,"Infer logical dependencies via naming conventions, index usage, profiling, and SME input; record as logical deps.",H,SDA,,F01.1.A.T06,SME time; sampling access on key tables,Logical FK map; reference entries,Approved by application owner; used for DAG constraints
F.01.1.A,F01.1.A.T08,Naming & schema evolution policy,"Decide destination naming (source vs vendor naming), case, and rules for drift (new columns, PK changes).",L,SDA,,F01.1.A.T06,Vendor capabilities; downstream preferences,Naming convention; drift policy,Data goverce approval
F.01.1.A,F01.1.A.T09,Destination schema & warehouse provisioning,Create destination DB/Schema(s) and warehouses; configure auto‑suspend/resume and resource monitors.,L,DE,,F01.1.A.T04,Snowflake admin access,Provisioned objects,Test queries OK; guardrails in place
F.01.1.A,F01.1.A.T10,Standardize metadata columns,"Define vendor system columns + LEIT fields (ingestion_ts, source_system, load_batch_id); document usage.",L,DE,,F01.1.A.T08,Agreement on metadata model; vendor capabilities,Metadata spec; DDL,Columns present and populated
F.01.1.A,F01.1.A.T11,Create reference tables (registry & dependencies),"Create REF tables to register sources/tables, sync settings, and dependency groups for orchestration.",M,SDE,,F01.1.A.T07,Snowflake DDL privileges,REF_TABLE_REGISTRY; REF_DEPENDENCY_EDGES; REF_DEPENDENCY_GROUPS; REF_SLA,Tables exist and are queryable
F.01.1.A,F01.1.A.T12,Configure connector authentication,Create destination user/role and secrets; configure vendor connection using key pair or password.,L,DE,,F01.1.A.T04,Secrets manager; Snowflake user/role created,Connector authenticated,Connection test passes in vendor UI
F.01.1.A,F01.1.A.T13,Select tables & columns; PKs and CDC options,Enable required schemas/tables; confirm PKs; enable deletes capture/soft delete; exclude low‑value objects.,M,SDE,,"F01.1.A.T06,F01.1.A.T08",Source owner approvals; PK availability,Connector selection export,Selection matches inventory; CDC enabled
F.01.1.A,F01.1.A.T14,Set sync schedule & SLAs,Set frequency to meet freshness SLAs; document schedule/offsets; define daily window if applicable.,L,DE,,F01.1.A.T05,Freshness targets; vendor plan limits,Configured schedule; documentation,Schedule meets SLA with buffer
F.01.1.A,F01.1.A.T15,Run initial load (backfill),Execute historic full load in off‑peak window; monitor resource usage; verify counts.,M,SDE,,"F01.1.A.T13,F01.1.A.T14",Source load tolerance; maintece window,Initial load report,Counts and checksums within tolerance
F.01.1.A,F01.1.A.T16,Cutover to CDC,Enable continuous sync; verify CDC behavior; confirm deletes handling and latency.,M,SDE,,F01.1.A.T15,Stable initial state; vendor CDC configured,CDC enabled with lag metrics,Lag within SLA for 3 consecutive days
F.01.1.A,F01.1.A.T17,Freshness/latency monitoring,Implement lag queries vs source timestamps; store metrics and alert on thresholds.,M,SDE,,F01.1.A.T16,,Lag dashboard + alerts,Alerts trigger on simulated lag
F.01.1.A,F01.1.A.T18,Data quality checks,"Implement row‑count, PK uniqueness, and null checks on critical columns; schedule validations post‑sync.",M,SDE,,F01.1.A.T16,,DQ checks + notifications,All checks passing or documented exemptions
F.01.1.A,F01.1.A.T19,Integrate with Airflow (start + wait),Use vendor API/operator to trigger syncs and sensors to wait for completion; gate downstream dbt/refreshes.,M,SDE,,"F01.1.A.T14,F01.1.A.T16",,DAG that triggers/waits on connector,DAG runs end‑to‑end with gating
F.01.1.A,F01.1.A.T19a,Generate DAG constraints from dependency graph,Emit edges so parents complete before children; integrate dependency layers/groups.,M,SDE,,"F01.1.A.T19,F01.1.A.T07b",,DAG edges per FK graph,Parent‑first ordering enforced
F.01.1.A,F01.1.A.T20,Scheduling alignment with downstream,Align DAG schedules to connector completion; consider offsets and long runs; avoid overlaps.,L,SDA,,F01.1.A.T19,,Coordinated schedules,No contention; SLAs met
F.01.1.A,F01.1.A.T21,Operational runbook & incident response,"Document failure modes, re‑sync procedures, schema change handling, and contacts; include vendor support steps.",L,SDA,,F01.1.A.T16,,Runbook in Confluence,Reviewed by ops; on‑call briefed
F.01.1.A,F01.1.A.T22,Knowledge transfer & sign‑off,"Deliver walkthrough and handover (dashboards, DQ results, runbook).",L,SDA,,F01.1.A.T21,,KT session; recorded demo,Sign‑off from client PM and data owner
F.01.1.A,F01.1.A.T23,Define additional business metadata columns,"Add goverce‑oriented metadata (record_source, business_unit, sensitivity); document lineage impacts.",L,SDA,,F01.1.A.T10,Data goverce catalog fields,Metadata spec + DDL,Columns present and populated
F.01.1.A,F01.1.A.T24,Group objects by transactional integrity (SOURCE FK graph),Persist dependency groupings derived from SOURCE FKs for parent‑first DAG ordering and validation.,M,SDE,,"F01.1.A.T07,F01.1.A.T11",,REF_DEPENDENCY_GROUPS populated,DAG uses grouping correctly
F.01.1.A,F01.1.A.T25,Table selection refinement,Refine enabled table list based on usage and SLAs; exclude low‑value/high‑churn tables; document rationale.,L,DE,,F01.1.A.T16,,Updated selection; change log,Change approved; sync time reduced
F.01.1.A,F01.1.A.T26,Alert routing & escalation,Integrate vendor and Snowflake alerts into client tooling (Slack/PagerDuty/email).,L,DE,,"F01.1.A.T17,F01.1.A.T18",,Unified alerting with ownership,Test alerts reach correct groups
F.01.1.A,F01.1.A.T27,Cost monitoring dashboard,Track warehouse credits and storage; attribute costs to connector; alert on anomalies.,L,DE,,"F01.1.A.T05,F01.1.A.T16",,Cost dashboard,Monthly report generated
