OptionRef,Task ID,Task Title,Task Description,Complexity,Primary Role,Notes,Predecessors,Client Dependencies,Deliverables,Acceptance Criteria,Orchestration Integration,Monitoring & Alerting,Schedule / Frequency
F.01.1.A,F01.1.A.T01,Define vendor evaluation criteria,"Create a scored matrix covering source coverage, CDC method, schema drift handling, private networking, SLAs, pricing model, and API/DAG integrations.",Medium,SDA,Include Snowflake Partner Connect availability; confirm required sources supported,,List of source systems; security/procurement constraints,Evaluation matrix; recommendation brief,Matrix approved by PDA and Security,,,
F.01.1.A,F01.1.A.T02,Spin up PoC via Snowflake Partner Connect,Use Partner Connect to create a trial account with shortlisted vendor and auto-provision Snowflake objects; validate basic end-to-end load.,Low,DE,,F01.1.A.T01,ACCOUNTADMIN access; ability to use Partner Connect,Working PoC connection and first sync,Initial tables replicated; credentials in secret manager,,,
F.01.1.A,F01.1.A.T03,Private networking design (PrivateLink / PSC),Design and validate private networking with the vendor (AWS PrivateLink / Azure Private Link / GCP PSC). Produce the enablement sequence and validation checks.,High,SDA,Exchange service attachment IDs / VPC endpoints with vendor,F01.1.A.T02,Cloud/region; Snowflake edition; vendor endpoints,Network design; allowlists; validation report,Connectivity validated privately (no public egress),,,
F.01.1.A,F01.1.A.T04,RBAC & least-privilege design for destination,Define destination DB/Schema/Warehouse and create service roles and grants following least-privilege; separate read vs. load roles.,Medium,SDA,,F01.1.A.T02,Security policies; target DB/Schema list,"DDL for roles, users, grants; runbook",Least-privilege review passed,,,
F.01.1.A,F01.1.A.T05,Cost & capacity planning,Estimate vendor costs and Snowflake compute/storage impact. Size warehouses for initial and steady-state CDC. Define usage monitors.,Medium,SDA,,F01.1.A.T02,"Volumes, change rates, pricing tier, SLAs",Cost model; warehouse sizing; monitors,Stakeholder sign-off on forecast,,,
F.01.1.A,F01.1.A.T06,Inventory & prioritize source tables,"Compile table list, identify primary keys and update timestamps, classify tables by change rate and criticality.",Medium,DE,,F01.1.A.T01,Access to source data dictionary; SME time,Table inventory spreadsheet; priority tags,Top-priority tables agreed with business,,,
F.01.1.A,F01.1.A.T07,Identify RI & dependency groups (from SOURCE catalogs),Extract FK relationships from SOURCE system catalogs and build dependency groups to ensure parent-first orchestration.,Medium,SDE,Do NOT rely on Snowflake constraints; targets may not carry/enforce FKs.,F01.1.A.T06,Read access to SOURCE catalogs; service account,Dependency graph; table group assignments,Graph reviewed; grouping rules captured for DAGs,,,
F.01.1.A,F01.1.A.T07a,Automate FK export per source,Implement scheduled extraction of FK metadata from SOURCE and persist to reference tables for reproducible builds.,Medium,SDE,Version outputs to support auditing,F01.1.A.T07,,Scheduled FK export job; REF_DEPENDENCY_* tables populated,Nightly export refreshes FK metadata without errors,,,
F.01.1.A,F01.1.A.T07b,Construct dependency graph from FK rows,Transform FK rows into a directed graph (parent->child); detect cycles/missing PKs; compute topological layers for load ordering.,Medium,SDE,,F01.1.A.T07a,,Dependency graph + layer assignments,Graph validates with no unresolved nodes,Graph serialized for DAG generation,,
F.01.1.A,F01.1.A.T07c,Handle sources without declared FKs,"Infer logical dependencies using naming conventions, index usage, data profiling, and SME input; record as logical dependencies in reference tables.",High,SDA,Mark ‘logical’ vs ‘declared’ in metadata,F01.1.A.T06,SME time; sampling rights on key tables,Documented logical FK map; reference table entries,Approved by application owner; feeds DAG constraints,,,
